frame,t_raw_s,utc,lum_mean,r_mean,g_mean,b_mean,roi_lum_mean,lum_max
-1,612457.98877199,2026-09-06T19:59:56.998570+00:00,anchor,anchor,anchor,anchor,anchor,anchor
127,612471.477209,2026-09-06T20:00:10.555797+00:00,51.730,91.202,23.927,91.361,61.062,255
128,612471.582610,2026-09-06T20:00:10.662939+00:00,51.644,91.061,23.863,91.310,60.986,255
129,612471.690339,2026-09-06T20:00:10.767959+00:00,50.679,89.154,23.320,90.644,59.975,255
130,612471.793670,2026-09-06T20:00:10.871626+00:00,51.830,91.437,23.980,91.347,61.227,255
131,612471.900517,2026-09-06T20:00:10.980979+00:00,52.172,92.120,24.148,91.696,61.508,255
132,612472.006942,2026-09-06T20:00:11.084693+00:00,51.124,90.047,23.574,90.892,60.446,255
133,612472.110071,2026-09-06T20:00:11.188554+00:00,51.402,90.558,23.749,91.090,60.798,255
134,612472.215312,2026-09-06T20:00:11.293621+00:00,51.394,90.565,23.765,90.926,60.898,255
135,612472.319677,2026-09-06T20:00:11.399066+00:00,51.634,91.046,23.896,91.091,61.131,255
136,612472.425168,2026-09-06T20:00:11.503857+00:00,51.125,90.051,23.579,90.866,60.541,255
137,612472.531027,2026-09-06T20:00:11.609006+00:00,52.550,92.947,24.320,91.953,61.912,255
138,612472.635181,2026-09-06T20:00:11.714593+00:00,52.147,92.216,23.992,92.026,61.339,255
139,612472.741238,2026-09-06T20:00:11.820932+00:00,51.850,91.453,23.972,91.525,61.052,255
140,612472.848020,2026-09-06T20:00:11.926327+00:00,50.030,87.827,22.978,90.186,59.144,255
141,612472.952605,2026-09-06T20:00:12.030696+00:00,50.515,88.822,23.230,90.540,59.660,255
142,612473.058861,2026-09-06T20:00:12.138550+00:00,50.868,89.535,23.421,90.779,60.024,255
143,612473.164508,2026-09-06T20:00:12.242527+00:00,50.366,88.520,23.136,90.507,59.483,255
144,612473.268810,2026-09-06T20:00:12.347685+00:00,50.979,89.745,23.480,90.904,60.172,255
145,612473.374436,2026-09-06T20:00:12.452849+00:00,50.615,89.012,23.296,90.576,59.827,255
146,612473.477585,2026-09-06T20:00:12.555539+00:00,51.054,89.889,23.538,90.882,60.256,255
147,612473.582551,2026-09-06T20:00:12.662104+00:00,51.732,91.344,23.787,91.729,60.924,255
148,612473.689043,2026-09-06T20:00:12.766917+00:00,51.780,91.322,23.945,91.396,61.089,255
149,612473.793542,2026-09-06T20:00:12.870884+00:00,51.518,90.850,23.790,91.131,60.878,255
150,612473.897852,2026-09-06T20:00:12.976553+00:00,51.599,90.983,23.853,91.171,60.942,255
151,612474.003522,2026-09-06T20:00:13.081297+00:00,52.885,93.616,24.487,92.278,62.236,255
152,612474.106876,2026-09-06T20:00:13.185136+00:00,51.269,90.294,23.667,91.040,60.609,255
153,612474.212248,2026-09-06T20:00:13.290364+00:00,51.883,91.590,23.928,91.681,61.148,255
154,612474.315648,2026-09-06T20:00:13.393905+00:00,51.834,91.486,23.928,91.530,61.155,255
155,612474.419897,2026-09-06T20:00:13.499414+00:00,51.918,91.669,23.961,91.612,61.302,255
156,612474.527337,2026-09-06T20:00:13.604717+00:00,52.106,92.028,24.100,91.604,61.500,255
157,612474.630386,2026-09-06T20:00:13.708555+00:00,51.913,91.597,24.067,91.215,61.482,255
158,612474.736058,2026-09-06T20:00:13.815037+00:00,51.493,90.784,23.780,91.140,61.011,255
159,612474.841259,2026-09-06T20:00:13.920230+00:00,50.921,89.649,23.457,90.762,60.399,255
160,612474.946163,2026-09-06T20:00:14.025133+00:00,50.939,89.700,23.448,90.833,60.312,255
161,612475.052308,2026-09-06T20:00:14.130592+00:00,51.772,91.303,23.961,91.289,61.179,255
162,612475.155662,2026-09-06T20:00:14.234075+00:00,50.783,89.334,23.434,90.491,60.194,255
163,612475.260626,2026-09-06T20:00:14.341139+00:00,51.354,90.540,23.640,91.277,60.691,255
164,612475.367234,2026-09-06T20:00:14.445326+00:00,51.868,91.554,23.937,91.595,61.174,255
165,612475.471802,2026-09-06T20:00:14.549958+00:00,52.316,92.431,24.243,91.652,61.645,255
166,612475.577934,2026-09-06T20:00:14.658324+00:00,52.287,92.392,24.213,91.650,61.626,255
167,612475.685171,2026-09-06T20:00:14.763384+00:00,51.187,90.176,23.609,90.926,60.489,255
168,612475.789857,2026-09-06T20:00:14.869151+00:00,51.824,91.493,23.900,91.567,61.059,255
169,612475.895949,2026-09-06T20:00:14.974782+00:00,50.606,89.014,23.292,90.510,59.925,255
170,612476.002051,2026-09-06T20:00:15.081174+00:00,51.747,91.285,23.930,91.281,61.157,255
171,612476.106747,2026-09-06T20:00:15.185284+00:00,52.314,92.399,24.254,91.668,61.841,255
172,612476.212352,2026-09-06T20:00:15.290679+00:00,51.594,91.016,23.834,91.141,61.103,255
173,612476.317682,2026-09-06T20:00:15.396655+00:00,51.996,91.769,24.078,91.432,61.614,255
174,612476.422587,2026-09-06T20:00:15.501954+00:00,52.694,93.175,24.493,91.727,62.391,255
175,612476.530007,2026-09-06T20:00:15.607115+00:00,53.393,94.569,24.873,92.243,63.132,255
176,612476.632510,2026-09-06T20:00:15.710160+00:00,52.575,93.013,24.335,91.927,62.184,255
177,612476.738034,2026-09-06T20:00:15.816519+00:00,53.253,94.369,24.700,92.435,62.847,255
178,612476.842971,2026-09-06T20:00:15.921104+00:00,52.107,92.026,24.102,91.608,61.687,255
179,612476.946858,2026-09-06T20:00:16.025009+00:00,51.306,90.454,23.646,91.050,60.889,255
180,612477.053273,2026-09-06T20:00:16.132102+00:00,52.004,91.800,24.045,91.594,61.603,255
181,612477.157713,2026-09-06T20:00:16.236150+00:00,52.140,92.148,24.063,91.781,61.644,255
182,612477.262337,2026-09-06T20:00:16.342304+00:00,51.315,90.453,23.642,91.157,60.713,255
183,612477.369419,2026-09-06T20:00:16.447496+00:00,51.633,91.078,23.831,91.337,60.947,255
184,612477.473196,2026-09-06T20:00:16.551177+00:00,51.524,90.694,23.915,90.951,60.919,255
185,612477.578571,2026-09-06T20:00:16.658038+00:00,51.141,89.948,23.698,90.668,60.517,255
186,612477.684502,2026-09-06T20:00:16.763034+00:00,51.324,90.322,23.789,90.822,60.713,255
187,612477.789365,2026-09-06T20:00:16.868767+00:00,51.171,90.081,23.648,90.835,60.534,255
188,612477.895430,2026-09-06T20:00:16.973925+00:00,51.365,90.522,23.645,91.399,60.632,255
189,612477.999436,2026-09-06T20:00:17.078045+00:00,51.285,90.331,23.695,90.937,60.595,255
190,612478.103973,2026-09-06T20:00:17.183192+00:00,50.565,88.902,23.228,90.775,59.674,255
191,612478.210137,2026-09-06T20:00:17.287919+00:00,49.261,86.246,22.585,89.615,58.388,255
192,612478.314013,2026-09-06T20:00:17.392047+00:00,50.311,88.360,23.163,90.308,59.524,255
193,612478.419287,2026-09-06T20:00:17.498445+00:00,49.988,87.652,23.042,89.952,59.197,255
194,612478.527194,2026-09-06T20:00:17.605476+00:00,51.224,90.126,23.705,90.892,60.462,255
195,612478.631086,2026-09-06T20:00:17.709218+00:00,51.002,89.728,23.507,91.009,60.144,255
196,612478.736577,2026-09-06T20:00:17.815772+00:00,50.587,88.844,23.359,90.445,59.708,255
197,612478.842299,2026-09-06T20:00:17.921289+00:00,50.129,87.868,23.164,89.993,59.320,255
198,612478.947058,2026-09-06T20:00:18.025632+00:00,49.861,87.296,23.033,89.816,58.952,255
199,612479.052831,2026-09-06T20:00:18.131260+00:00,49.376,86.385,22.725,89.539,58.438,255
200,612479.155754,2026-09-06T20:00:18.233983+00:00,50.761,89.268,23.315,91.083,59.791,255
201,612479.262263,2026-09-06T20:00:18.342418+00:00,50.619,88.862,23.404,90.450,59.736,255
202,612479.369928,2026-09-06T20:00:18.447295+00:00,51.213,90.150,23.591,91.319,60.359,255
203,612479.474526,2026-09-06T20:00:18.553321+00:00,51.059,89.753,23.662,90.648,60.387,255
204,612479.581595,2026-09-06T20:00:18.662352+00:00,50.970,89.615,23.536,90.875,60.304,255
205,612479.689577,2026-09-06T20:00:18.767926+00:00,51.148,89.892,23.759,90.559,60.636,255
206,612479.793569,2026-09-06T20:00:18.872464+00:00,51.086,89.884,23.625,90.728,60.523,255
207,612479.899607,2026-09-06T20:00:18.979830+00:00,50.275,88.174,23.263,89.960,59.800,255
208,612480.007640,2026-09-06T20:00:19.086317+00:00,51.424,90.572,23.749,91.249,60.947,255
209,612480.112099,2026-09-06T20:00:19.190475+00:00,51.908,91.573,24.021,91.470,61.509,255
210,612480.218237,2026-09-06T20:00:19.297566+00:00,52.254,92.277,24.208,91.693,61.850,255
211,612480.324511,2026-09-06T20:00:19.403921+00:00,50.334,88.402,23.215,90.129,59.941,255
212,612480.429779,2026-09-06T20:00:19.508541+00:00,50.749,89.124,23.530,90.251,60.300,255
213,612480.536161,2026-09-06T20:00:19.614949+00:00,51.806,91.334,23.981,91.410,61.229,255
214,612480.641193,2026-09-06T20:00:19.719665+00:00,51.196,90.145,23.638,90.942,60.627,255
215,612480.747221,2026-09-06T20:00:19.826817+00:00,50.583,88.891,23.328,90.445,59.899,255
216,612480.853493,2026-09-06T20:00:19.931582+00:00,50.396,88.540,23.194,90.419,59.638,255
217,612480.955831,2026-09-06T20:00:20.033921+00:00,50.202,88.116,23.110,90.262,59.401,255
218,612481.060930,2026-09-06T20:00:20.140302+00:00,50.478,88.648,23.265,90.491,59.616,255
219,612481.166809,2026-09-06T20:00:20.244470+00:00,50.241,88.113,23.202,90.131,59.345,255
220,612481.270892,2026-09-06T20:00:20.348860+00:00,49.076,85.784,22.575,89.256,58.030,255
221,612481.375766,2026-09-06T20:00:20.453551+00:00,50.021,87.730,23.013,90.181,58.965,255
222,612481.480199,2026-09-06T20:00:20.558936+00:00,50.129,87.978,22.968,90.717,58.964,255
223,612481.585016,2026-09-06T20:00:20.663668+00:00,50.401,88.375,23.316,90.266,59.430,255
224,612481.691331,2026-09-06T20:00:20.769609+00:00,50.915,89.512,23.455,91.078,59.853,255
225,612481.795096,2026-09-06T20:00:20.872588+00:00,51.036,89.756,23.523,91.148,59.899,255
226,612481.899848,2026-09-06T20:00:20.978792+00:00,50.438,88.535,23.248,90.519,59.335,255
227,612482.006923,2026-09-06T20:00:21.084605+00:00,49.798,87.149,23.029,89.667,58.739,255
228,612482.110211,2026-09-06T20:00:21.188765+00:00,50.220,87.998,23.246,90.033,59.226,255
229,612482.217162,2026-09-06T20:00:21.297019+00:00,50.068,87.769,23.098,90.061,59.158,255
230,612482.323230,2026-09-06T20:00:21.401056+00:00,50.032,87.648,23.130,89.893,59.237,255
231,612482.427193,2026-09-06T20:00:21.506035+00:00,51.329,90.302,23.792,90.903,60.585,255
232,612482.533178,2026-09-06T20:00:21.611019+00:00,51.012,89.602,23.679,90.535,60.335,255
233,612482.635722,2026-09-06T20:00:21.714007+00:00,50.181,87.951,23.210,89.995,59.454,255
234,612482.741278,2026-09-06T20:00:21.821518+00:00,50.080,87.710,23.202,89.781,59.438,255
235,612482.847832,2026-09-06T20:00:21.925362+00:00,50.367,88.294,23.367,89.914,59.889,255
